[2020-01-29 17:51:48,763] [views.py:42] [views:getACData] [INFO]- 计科1601start ac data
[2020-01-29 17:51:48,765] [views.py:45] [views:getACData] [INFO]- 计科1601end ac data
[2020-01-29 17:51:48,766] [views.py:42] [views:getACData] [INFO]- 计科1705start ac data
[2020-01-29 17:51:48,771] [views.py:45] [views:getACData] [INFO]- 计科1705end ac data
[2020-01-29 17:51:48,771] [views.py:42] [views:getACData] [INFO]- 计科1605start ac data
[2020-01-29 17:51:48,773] [views.py:45] [views:getACData] [INFO]- 计科1605end ac data
[2020-01-29 17:51:48,774] [views.py:42] [views:getACData] [INFO]- 计科1703start ac data
[2020-01-29 17:51:48,775] [views.py:45] [views:getACData] [INFO]- 计科1703end ac data
[2020-01-29 17:51:48,776] [views.py:42] [views:getACData] [INFO]- 计科1605start ac data
[2020-01-29 17:51:48,778] [views.py:45] [views:getACData] [INFO]- 计科1605end ac data
[2020-01-29 17:51:48,781] [views.py:42] [views:getACData] [INFO]- 计科1705start ac data
[2020-01-29 17:51:48,783] [views.py:45] [views:getACData] [INFO]- 计科1705end ac data
[2020-01-29 17:51:48,783] [views.py:42] [views:getACData] [INFO]- 计科1803start ac data
[2020-01-29 17:51:48,785] [views.py:45] [views:getACData] [INFO]- 计科1803end ac data
[2020-01-29 17:51:48,786] [views.py:42] [views:getACData] [INFO]- 计科1705start ac data
[2020-01-29 17:51:48,788] [views.py:45] [views:getACData] [INFO]- 计科1705end ac data
[2020-01-29 17:51:48,788] [views.py:42] [views:getACData] [INFO]- 计科1605start ac data
[2020-01-29 17:51:48,792] [views.py:45] [views:getACData] [INFO]- 计科1605end ac data
[2020-01-29 17:51:48,793] [views.py:42] [views:getACData] [INFO]- 计科1803start ac data
[2020-01-29 17:51:48,795] [views.py:45] [views:getACData] [INFO]- 计科1803end ac data
[2020-01-29 17:51:48,795] [views.py:42] [views:getACData] [INFO]- 计科1705start ac data
[2020-01-29 17:51:48,798] [views.py:45] [views:getACData] [INFO]- 计科1705end ac data
[2020-01-29 17:51:48,800] [views.py:42] [views:getACData] [INFO]- 计科1504start ac data
[2020-01-29 17:51:48,804] [views.py:45] [views:getACData] [INFO]- 计科1504end ac data
[2020-01-29 17:51:48,804] [views.py:42] [views:getACData] [INFO]- 计科1802start ac data
[2020-01-29 17:51:48,806] [views.py:45] [views:getACData] [INFO]- 计科1802end ac data
[2020-01-29 17:51:48,806] [views.py:42] [views:getACData] [INFO]- 计科1703start ac data
[2020-01-29 17:51:48,809] [views.py:45] [views:getACData] [INFO]- 计科1703end ac data
[2020-01-29 17:51:48,809] [views.py:42] [views:getACData] [INFO]- 信管1701start ac data
[2020-01-29 17:51:48,813] [views.py:45] [views:getACData] [INFO]- 信管1701end ac data
[2020-01-29 17:51:48,814] [views.py:42] [views:getACData] [INFO]- 计科1701start ac data
[2020-01-29 17:51:48,815] [views.py:45] [views:getACData] [INFO]- 计科1701end ac data
[2020-01-29 17:51:48,816] [views.py:42] [views:getACData] [INFO]- 计科1605start ac data
[2020-01-29 17:51:48,819] [views.py:45] [views:getACData] [INFO]- 计科1605end ac data
[2020-01-29 17:51:48,822] [views.py:42] [views:getACData] [INFO]- 计科17级start ac data
[2020-01-29 17:51:48,826] [views.py:45] [views:getACData] [INFO]- 计科17级end ac data
[2020-01-29 17:51:48,826] [views.py:42] [views:getACData] [INFO]- 计科1605start ac data
[2020-01-29 17:51:48,828] [views.py:45] [views:getACData] [INFO]- 计科1605end ac data
[2020-01-29 17:51:48,828] [views.py:42] [views:getACData] [INFO]- 计科1603start ac data
[2020-01-29 17:51:48,830] [views.py:45] [views:getACData] [INFO]- 计科1603end ac data
[2020-01-29 17:51:48,832] [views.py:42] [views:getACData] [INFO]- 计科1705start ac data
[2020-01-29 17:51:48,836] [views.py:45] [views:getACData] [INFO]- 计科1705end ac data
[2020-01-29 17:51:48,836] [views.py:42] [views:getACData] [INFO]- 计科1504start ac data
[2020-01-29 17:51:48,839] [views.py:45] [views:getACData] [INFO]- 计科1504end ac data
[2020-01-29 17:51:48,839] [views.py:42] [views:getACData] [INFO]- 信息1602start ac data
[2020-01-29 17:51:48,841] [views.py:45] [views:getACData] [INFO]- 信息1602end ac data
[2020-01-29 17:51:48,843] [views.py:42] [views:getACData] [INFO]- 计科1701start ac data
[2020-01-29 17:51:48,848] [views.py:45] [views:getACData] [INFO]- 计科1701end ac data
[2020-01-29 17:51:48,849] [views.py:42] [views:getACData] [INFO]- 计科1605start ac data
[2020-01-29 17:51:48,851] [views.py:45] [views:getACData] [INFO]- 计科1605end ac data
[2020-01-29 17:51:48,853] [views.py:42] [views:getACData] [INFO]- 计科1705start ac data
[2020-01-29 17:51:48,856] [views.py:45] [views:getACData] [INFO]- 计科1705end ac data
[2020-01-29 17:51:48,856] [views.py:42] [views:getACData] [INFO]- 计科1808start ac data
[2020-01-29 17:51:48,859] [views.py:45] [views:getACData] [INFO]- 计科1808end ac data
[2020-01-29 17:51:48,859] [views.py:42] [views:getACData] [INFO]- 计科1702start ac data
[2020-01-29 17:51:48,861] [views.py:45] [views:getACData] [INFO]- 计科1702end ac data
[2020-01-29 17:51:48,862] [views.py:42] [views:getACData] [INFO]- 计科1705start ac data
[2020-01-29 17:51:48,866] [views.py:45] [views:getACData] [INFO]- 计科1705end ac data
[2020-01-29 17:51:48,866] [views.py:42] [views:getACData] [INFO]- 计科1704start ac data
[2020-01-29 17:51:48,869] [views.py:45] [views:getACData] [INFO]- 计科1704end ac data
[2020-01-29 17:51:48,869] [views.py:42] [views:getACData] [INFO]- 计科1806start ac data
[2020-01-29 17:51:48,872] [views.py:45] [views:getACData] [INFO]- 计科1806end ac data
[2020-01-29 17:51:48,872] [views.py:42] [views:getACData] [INFO]- 计科1605start ac data
[2020-01-29 17:51:48,878] [views.py:45] [views:getACData] [INFO]- 计科1605end ac data
[2020-01-29 17:51:48,879] [views.py:42] [views:getACData] [INFO]- 计科1705start ac data
[2020-01-29 17:51:48,881] [views.py:45] [views:getACData] [INFO]- 计科1705end ac data
[2020-01-29 17:51:48,883] [views.py:42] [views:getACData] [INFO]- 计科1705start ac data
[2020-01-29 17:51:48,886] [views.py:45] [views:getACData] [INFO]- 计科1705end ac data
[2020-01-29 17:51:48,887] [views.py:42] [views:getACData] [INFO]- 计科1605start ac data
[2020-01-29 17:51:48,889] [views.py:45] [views:getACData] [INFO]- 计科1605end ac data
[2020-01-29 17:51:48,889] [views.py:42] [views:getACData] [INFO]- 计科1704start ac data
[2020-01-29 17:51:48,892] [views.py:45] [views:getACData] [INFO]- 计科1704end ac data
[2020-01-29 17:51:48,893] [views.py:42] [views:getACData] [INFO]- 计科1807start ac data
[2020-01-29 17:51:48,896] [views.py:45] [views:getACData] [INFO]- 计科1807end ac data
[2020-01-29 17:51:48,897] [views.py:42] [views:getACData] [INFO]- 计科1705start ac data
[2020-01-29 17:51:48,899] [views.py:45] [views:getACData] [INFO]- 计科1705end ac data
[2020-01-29 17:51:48,900] [views.py:42] [views:getACData] [INFO]- 信息A1701start ac data
[2020-01-29 17:51:48,902] [views.py:45] [views:getACData] [INFO]- 信息A1701end ac data
